"eez_code","eez_name","eez_type","ter1_code","ter1_name","ter1_iso","ter2_code","ter2_name","ter2_iso","ter3_code","ter3_name","ter3_iso","sov1_code","sov1_name","sov1_iso","sov2_code","sov2_name","sov2_iso","sov3_code","sov3_name","sov3_iso","long_dd","lat_dd","area_sqkm","income_usd_yr","diesel_usd_l","gas_usd_l"
8360,"United Arab Emirates Exclusive Economic Zone","200NM",2206,"United Arab Emirates","ARE",0,NA,NA,0,NA,NA,2206,"United Arab Emirates","ARE",0,NA,NA,0,NA,NA,53.8930330818,24.9439565587,51782,37374.460621026,0.52,0.49
8376,"Cypriote Exclusive Economic Zone","200NM",2159,"Cyprus","CYP",0,NA,NA,0,NA,NA,2159,"Cyprus","CYP",0,NA,NA,0,NA,NA,32.6352575462,34.4892906437,98468,21477.4348339778,1.23,1.23
48947,"Overlapping claim: Iran / United Arab Emirates","Overlapping claim",2206,"United Arab Emirates","ARE",2126,"Iran","IRN",0,NA,NA,2206,"United Arab Emirates","ARE",2126,"Iran","IRN",0,NA,NA,55.1718033541,26.0126890305,6185,37374.460621026,0.52,0.49
48956,"Overlapping claim Doumeira Islands: Djibouti / Eritrea","Overlapping claim",2111,"Eritrea","ERI",2131,"Djibouti","DJI",0,NA,NA,2111,"Eritrea","ERI",2131,"Djibouti","DJI",0,NA,NA,43.2222066003,12.7588941374,246,10359.2557180985,1.33,2
8490,"Egyptian Exclusive Economic Zone","200NM",3868,"Egypt","EGY",0,NA,NA,0,NA,NA,3868,"Egypt","EGY",0,NA,NA,0,NA,NA,31.1502966164,30.4512324686,243594,2166.63737281533,0.15,0.4
8351,"Eritrean Exclusive Economic Zone","200NM",2111,"Eritrea","ERI",0,NA,NA,0,NA,NA,2111,"Eritrea","ERI",0,NA,NA,0,NA,NA,40.5925502681,15.8234585394,78382,10359.2557180985,1.33,2
5678,"Georgian Exclusive Economic Zone","200NM",2102,"Georgia","GEO",0,NA,NA,0,NA,NA,2102,"Georgia","GEO",0,NA,NA,0,NA,NA,40.5617419539,42.4462488511,22907,3402.04223182982,0.74,0.76
8469,"Iranian Exclusive Economic Zone","200NM",2126,"Iran","IRN",0,NA,NA,0,NA,NA,2126,"Iran","IRN",0,NA,NA,0,NA,NA,53.8853956156,29.7824207746,215584,4237.95618350418,0.216,0.399
8374,"Lebanese Exclusive Economic Zone","200NM",2098,"Lebanon","LBN",0,NA,NA,0,NA,NA,2098,"Lebanon","LBN",0,NA,NA,0,NA,NA,34.9039215283,33.9094237826,20190,6318.234572096,0.47,0.74
8372,"Libyan Exclusive Economic Zone","200NM",2194,"Libya","LBY",0,NA,NA,0,NA,NA,2194,"Libya","LBY",0,NA,NA,0,NA,NA,18.4993444533,33.1430015882,364696,4988.89555030807,0.11,0.11
5685,"Maltese Exclusive Economic Zone","200NM",2217,"Malta","MLT",0,NA,NA,0,NA,NA,2217,"Malta","MLT",0,NA,NA,0,NA,NA,15.1112067205,35.3135543136,52923,10359.2557180985,1.22,1.36
8354,"Omani Exclusive Economic Zone","200NM",2251,"Oman","OMN",0,NA,NA,0,NA,NA,2251,"Oman","OMN",0,NA,NA,0,NA,NA,58.6699806823,18.9491464112,558188,9936.79225527634,0.49,0.45
8356,"Saudi Arabian Exclusive Economic Zone","200NM",2215,"Saudi Arabia","SAU",0,NA,NA,0,NA,NA,2215,"Saudi Arabia","SAU",0,NA,NA,0,NA,NA,40.4857994271,22.4546303447,224780,16851.9140917407,0.12,0.24
8346,"Sri Lankan Exclusive Economic Zone","200NM",2195,"Sri Lanka","LKA",0,NA,NA,0,NA,NA,2195,"Sri Lanka","LKA",0,NA,NA,0,NA,NA,81.6360736851,6.5463774611,535853,3659.80370225616,0.65,0.88
8355,"Sudanese Exclusive Economic Zone","200NM",2183,"Sudan","SDN",0,NA,NA,0,NA,NA,2183,"Sudan","SDN",0,NA,NA,0,NA,NA,38.1436708014,19.7479237752,63012,2240.72358006821,0.61,0.95
8373,"Syrian Exclusive Economic Zone","200NM",3384,"Syria","SYR",0,NA,NA,0,NA,NA,3384,"Syria","SYR",0,NA,NA,0,NA,NA,35.4962435481,35.328707793,10269,10359.2557180985,0.857541062801932,0.974311698113208
8392,"Togolese Exclusive Economic Zone","200NM",8632,"Togo","TGO",0,NA,NA,0,NA,NA,8632,"Togo","TGO",0,NA,NA,0,NA,NA,1.82134961928,4.6394919934,15515,511.719359061917,0.71,0.71
5679,"Greek Exclusive Economic Zone","200NM",2099,"Greece","GRC",0,NA,NA,0,NA,NA,2099,"Greece","GRC",0,NA,NA,0,NA,NA,23.9324458505,36.5071422798,482784,15780.266096721,1.22,1.54
