"","ID","CountryYieldCumSum","CountryAreaCumSum","MaxPhi","averagePhi","averageWeightedPhi","MaxDevPerCountry","MaxProdPerCountry","OnePercentDevPerCountry","ProdPerCountryOnePercent","LABEL","MarFishProdMT","MarMolluscProdMT"
"45",92,214927325.675073,0.840486275553299,2.20447815330373,2.15716324150597,2.15715930986888,3658.21819767924,865126901738.853,36.5821819767924,9217092643.11453,"Trinidad and Tobago",NA,NA
"46",95,252702742.071914,0.846044432671227,2.29771463763889,2.13121109892917,2.1312148341952,3442.08045998327,783088931697.749,34.4208045998327,10032237218.101,"Panama",980,NA
"47",96,249509301.098459,0.844457491079047,2.29120752938,2.21476314263195,2.21480759063644,1490.03001068115,388282763879.456,14.9003001068115,4241805587.15829,"Costa Rica",NA,NA
"48",97,239908166.467061,0.83445097364736,2.27480823994278,2.11414654679227,2.1141784002942,2579.23523346798,570478618450.785,25.7923523346798,7124786344.01668,"Nicaragua",NA,NA
"49",98,247038919.145195,0.84472478551017,2.28504462659611,2.16008800088575,2.16000089135363,12458.5344036197,2967321840943.87,124.585344036197,35269642274.5447,"Colombia",NA,NA
"50",99,214482638.732512,0.82277218235235,2.21602153587762,2.1221860621404,2.12206688647223,2104.14289321237,470746883550.178,21.0414289321237,5307889266.49856,"Honduras",150,NA
"51",100,193603364.226024,0.83230083154507,2.14763096738944,2.05713011331483,2.05713110225855,1203.03787099546,241164545593.418,12.0303787099546,2706161100.39246,"El Salvador",NA,17
"52",101,197372662.776081,0.75737950117408,2.21582928694414,1.92395191862151,1.92622135731201,43421.2191484122,7217162050792.33,434.212191484122,101703388693.2,"Mexico",6965,2662
"53",102,196769007.725193,0.829448372348502,2.15942760757667,1.92799227215652,1.92819827198983,442.131192754745,72242720348.0707,4.42131192754745,967746672.536948,"Guatemala",NA,NA
"54",103,203427187.22979,0.854540187911523,2.16151355706441,2.00978583843037,2.00980284337949,4620.06961293301,859095693217.447,46.2006961293301,10892736699.0691,"Ecuador",NA,NA
"55",104,166883449.728813,0.853136657917609,2.04363812248026,1.84383046845732,1.84393837640411,69430.9511229808,9757552373846.89,694.309511229808,118289361881.012,"Peru",3,67694
"56",105,224524680.745001,0.842966323893197,2.22893298331104,2.12127088800779,2.12128619577322,34644.3201848348,7732076874033.36,346.443201848348,89579919407.1084,"Venezuela",NA,NA
"57",115,96486879.8007374,0.620178553041724,1.90618911198667,1.82612812023999,1.8244653082211,14250.7521833575,1942418760800.85,142.507521833575,22057458929.6129,"New Zealand",11415,85141
"58",116,162521589.72395,0.746342911493709,2.1080176,1.69937514115468,1.692037840583,51932.6404609349,6258148654604.01,519.326404609349,113058399109.692,"United States",21187,160458
"59",117,196106253.338283,0.817390466963331,2.16619277346138,2.04219926611878,2.04211255178256,1364.48567709124,267546143282.177,13.6448567709124,3137760922.11314,"Belize",NA,NA
"60",119,230739622.120598,0.848497397096503,2.24139726833714,2.16256620417386,2.16254927474768,19640.384263784,4688960741714.53,196.40384263784,52546554795.9389,"Guyana",NA,NA
"61",120,215010208.127921,0.850093316060733,2.1978871529698,2.11719559836712,2.11719855797416,17159.0072093011,3795716705676.15,171.590072093011,41974841197.1681,"Suriname",NA,NA
"62",121,220130318.595985,0.851651103457235,2.21091519105798,2.14175803818123,2.14176696392663,23168.0682609342,5340486749538.63,231.680682609342,58922424912.1533,"French Guiana",NA,NA
"63",122,262239559.649299,0.854433869115601,2.31402854678667,2.00290104174506,2.02205952329688,111718.259751163,23008018423019,1117.18259751163,302911970452.255,"Brazil",NA,19360
"64",123,112561664.666522,0.652600439687563,1.96809950925333,1.79835789949754,1.7931681644334,107768.747322728,14549057477816.4,1077.68747322728,184005853286.881,"Argentina",NA,42
"65",124,110640749.552119,0.687285325166296,1.92668213222778,1.61693156771038,1.61650220512656,34783.9154230452,3402508058019.15,347.839154230452,51486961803.1525,"Uruguay",NA,NA
