"level","species_id","species_orig","species","comm_name","type","class","order","family","genus","forage"
"species","15236","Sillago flindersi","Sillago flindersi","Flinders' sillago","fish","Actinopterygii","Perciformes","Sillaginidae","Sillago","forage fish"
"species","15244","Sillago sihama","Sillago sihama","Silver sillago","fish","Actinopterygii","Perciformes","Sillaginidae","Sillago","forage fish"
"species","15323","Solea senegalensis","Solea senegalensis","Senegalese sole","fish","Actinopterygii","Pleuronectiformes","Soleidae","Solea","not forage fish"
"species","15324","Solea solea","Solea solea","Common sole","fish","Actinopterygii","Pleuronectiformes","Soleidae","Solea","not forage fish"
"species","15345","Solenocera agassizii","Solenocera agassizii","Kolibri shrimp","invert","Malacostraca","Decapoda","Solenoceridae","Solenocera","not forage fish"
"species","15386","Sparidentex hasta","Sparidentex hasta","Sobaity seabream","fish","Actinopterygii","Perciformes","Sparidae","Sparidentex","not forage fish"
"species","15391","Sparisoma cretense","Sparisoma cretense","Parrotfish","fish","Actinopterygii","Perciformes","Scaridae","Sparisoma","not forage fish"
"species","15397","Sparus aurata","Sparus aurata","Gilthead seabream","fish","Actinopterygii","Perciformes","Sparidae","Sparus","not forage fish"
"species","15438","Sphyraena barracuda","Sphyraena barracuda","Great barracuda","fish","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","not forage fish"
"species","15447","Sphyraena jello","Sphyraena jello","Pickhandle barracuda","fish","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","not forage fish"
"species","15454","Sphyraena sphyraena","Sphyraena sphyraena","European barracuda","fish","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","not forage fish"
"species","15458","Sphyrna lewini","Sphyrna lewini","Scalloped hammerhead","fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","not forage fish"
"species","15462","Sphyrna zygaena","Sphyrna zygaena","Smooth hammerhead","fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","not forage fish"
"species","15465","Spicara maena","Spicara maena","Blotched picarel","fish","Actinopterygii","Perciformes","Sparidae","Spicara","forage fish"
"species","15481","Spisula solida","Spisula solida","Solid surf clam","invert","Bivalvia","Veneroida","Mactridae","Spisula","not forage fish"
"species","15486","Spondyliosoma cantharus","Spondyliosoma cantharus","Black seabream","fish","Actinopterygii","Perciformes","Sparidae","Spondyliosoma","not forage fish"
"species","15507","Sprattus fuegensis","Sprattus fuegensis","Falkland sprat","fish","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","forage fish"
"species","15509","Sprattus sprattus","Sprattus sprattus","European sprat","fish","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","forage fish"
"species","15520","Squalus acanthias","Squalus acanthias","Picked dogfish","fish","Elasmobranchii","Squaliformes","Squalidae","Squalus","not forage fish"
"species","15535","Squatina argentina","Squatina argentina","Argentine angelshark","fish","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","not forage fish"
"species","15537","Squatina californica","Squatina californica","Pacific angelshark","fish","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","not forage fish"
"species","15544","Squilla mantis","Squilla mantis","Spottail mantis squillid","invert","Malacostraca","Stomatopoda","Squillidae","Squilla","not forage fish"
"species","15661","Stenotomus chrysops","Stenotomus chrysops","Scup","fish","Actinopterygii","Perciformes","Sparidae","Stenotomus","not forage fish"
"species","15666","Stephanolepis cirrhifer","Stephanolepis cirrhifer","Threadsail filefish","fish","Actinopterygii","Tetraodontiformes","Monacanthidae","Stephanolepis","forage fish"
"species","15684","Stereolepis gigas","Stereolepis gigas","Giant seabass","fish","Actinopterygii","Perciformes","Polyprionidae","Stereolepis","not forage fish"
"species","15779","Stromateus brasiliensis","Stromateus brasiliensis","Southwest Atlantic butterfish","fish","Actinopterygii","Perciformes","Stromateidae","Stromateus","forage fish"
"species","15780","Stromateus fiatola","Stromateus fiatola","Blue butterfish","fish","Actinopterygii","Perciformes","Stromateidae","Stromateus","not forage fish"
"species","16206","Taractichthys steindachneri","Taractichthys steindachneri","Sickle pomfret","fish","Actinopterygii","Perciformes","Bramidae","Taractichthys","not forage fish"
"species","16216","Tautoga onitis","Tautoga onitis","Tautog","fish","Actinopterygii","Perciformes","Labridae","Tautoga","not forage fish"
"species","16217","Tautogolabrus adspersus","Tautogolabrus adspersus","Cunner","fish","Actinopterygii","Perciformes","Labridae","Tautogolabrus","forage fish"
"species","16232","Tegillarca granosa","Tegillarca granosa","Blood cockle","invert","Bivalvia","Arcoida","Arcidae","Tegillarca","not forage fish"
"species","16268","Tenualosa ilisha","Tenualosa ilisha","Hilsa shad","fish","Actinopterygii","Clupeiformes","Clupeidae","Tenualosa","forage fish"
"species","16269","Tenualosa toli","Tenualosa toli","Toli shad","fish","Actinopterygii","Clupeiformes","Clupeidae","Tenualosa","not forage fish"
"species","16330","Tetrapturus angustirostris","Tetrapturus angustirostris","Shortbill spearfish","fish","Actinopterygii","Perciformes","Istiophoridae","Tetrapturus","not forage fish"
