Mapping parameters for Coregonus lavaretus (European whitefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  37,
Bounding Box (NSWE): ,73,40,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,1.18,6.22,10.76,18.53
Salinity (psu),1,3.56,5.63,34.97,38.07
Primary Production,1,448,658,2006,2507.5
Sea Ice Concentration,1,-0.95,0.01,0.109999999403954,0.33
Distance to Land (km),0,0,1,57,291
 

Map data (HSPEC) for predicted occurrences (n = 1453): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Coregonus,lavaretus,68.25,46.25,1604:486:1,0.02,,,,,,
Coregonus,lavaretus,68.25,46.75,1604:486:2,0.02,,,,,,
Coregonus,lavaretus,68.75,46.25,1604:486:3,0.03,,,,,,
Coregonus,lavaretus,68.25,47.25,1604:487:1,0.01,,,,,,
Coregonus,lavaretus,69.25,47.25,1604:497:1,0.01,,,,,,
Coregonus,lavaretus,69.25,47.75,1604:497:2,0.03,,,,,,
Coregonus,lavaretus,69.25,48.25,1604:498:1,0.01,,,,,,
Coregonus,lavaretus,70.75,20.25,1702:100:3,0.02,,,,,,
Coregonus,lavaretus,70.75,20.75,1702:100:4,0.12,,,,,,
Coregonus,lavaretus,70.25,24.75,1702:104:2,0.12,,,,,,
Coregonus,lavaretus,70.75,26.25,1702:206:3,0.14,,,,,,
Coregonus,lavaretus,70.75,27.25,1702:207:3,0.13,,,,,,
Coregonus,lavaretus,71.25,25.75,1702:215:2,0.13,,,,,,
Coregonus,lavaretus,71.25,26.25,1702:216:1,0.09,,,,,,
Coregonus,lavaretus,71.25,27.75,1702:217:2,0.03,,,,,,
Coregonus,lavaretus,70.25,30.25,1703:100:1,0.15,,,,,,
Coregonus,lavaretus,70.75,30.25,1703:100:3,0.16,,,,,,
Coregonus,lavaretus,70.25,31.75,1703:101:2,0.14,,,,,,
Coregonus,lavaretus,70.75,42.25,1704:102:3,0.08,,,,,,
Coregonus,lavaretus,70.75,42.75,1704:102:4,0.05,,,,,,
Coregonus,lavaretus,43.75,-4.25,7400:134:3,0.02,,,,,,
Coregonus,lavaretus,44.75,-1.75,7400:141:4,0.04,,,,,,
Coregonus,lavaretus,44.75,-2.25,7400:142:3,0.12,,,,,,
Coregonus,lavaretus,40.25,-9.25,7400:209:1,0.02,,,,,,
Coregonus,lavaretus,40.75,-9.25,7400:209:3,0.19,,,,,,
Coregonus,lavaretus,43.75,-5.75,7400:235:4,0.17,,,,,,
Coregonus,lavaretus,45.75,-3.75,7400:353:4,0.13,,,,,,
Coregonus,lavaretus,46.25,-2.75,7400:362:2,0.13,,,,,,
Coregonus,lavaretus,46.25,-4.25,7400:364:1,0.03,,,,,,
Coregonus,lavaretus,48.25,-6.25,7400:486:1,0.09,,,,,,
Coregonus,lavaretus,49.75,-10.75,7401:390:4,0.19,,,,,,
Coregonus,lavaretus,51.75,-2.25,7500:112:3,0.16,,,,,,
Coregonus,lavaretus,52.75,-3.75,7500:123:4,0.18,,,,,,
Coregonus,lavaretus,50.25,-9.25,7500:209:1,0.03,,,,,,
Coregonus,lavaretus,51.75,-5.75,7500:215:4,0.17,,,,,,
Coregonus,lavaretus,51.75,-7.25,7500:217:3,0.16,,,,,,
Coregonus,lavaretus,52.75,-8.75,7500:228:4,0.16,,,,,,
Coregonus,lavaretus,58.25,-2.25,7500:382:1,0.08,,,,,,
Coregonus,lavaretus,56.25,-8.25,7500:468:1,0.04,,,,,,
Coregonus,lavaretus,51.75,-10.75,7501:110:4,0.06,,,,,,
Coregonus,lavaretus,57.75,-13.25,7501:373:3,0.13,,,,,,
Coregonus,lavaretus,57.75,-13.75,7501:373:4,0.02,,,,,,
Coregonus,lavaretus,59.75,-43.25,7504:393:3,0.12,,,,,,
Coregonus,lavaretus,59.75,-43.75,7504:393:4,0.19,,,,,,
Coregonus,lavaretus,60.75,-0.75,7600:100:4,0.19,,,,,,
Coregonus,lavaretus,64.75,-14.25,7601:144:3,0.12,,,,,,
Coregonus,lavaretus,63.75,-16.25,7601:236:3,0.18,,,,,,
Coregonus,lavaretus,63.25,-17.25,7601:237:1,0.06,,,,,,
Coregonus,lavaretus,64.25,-15.25,7601:245:1,0.08,,,,,,
Coregonus,lavaretus,64.25,-15.75,7601:245:2,0.03,,,,,,
Coregonus,lavaretus,64.25,-16.25,7601:246:1,0.12,,,,,,
Coregonus,lavaretus,65.25,-13.75,7601:353:2,0.08,,,,,,
Coregonus,lavaretus,65.75,-13.75,7601:353:4,0.11,,,,,,
Coregonus,lavaretus,65.75,-14.25,7601:354:3,0.16,,,,,,
Coregonus,lavaretus,66.25,-14.25,7601:364:1,0.12,,,,,,
